;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;;;
;;NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;6225;prego pasta garlic supreme ital sau rts;85;2;1;3;13;2;10;31;1;0;0;315;408;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
;;3286;babyfood veg mix veg str;36;1;0;1;8;2;2;13;0;10;22;127;0;0;0;0;1;2;0;0;0;0;4;0;158;0.24;0;;
;;35075;squirrel ground meat (alaska native);111;19;0;4;0;0;0;0;5;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;3245;babyfood dssrt custard pudd vanilla str;85;2;1;2;16;0;12;55;0;5;45;66;0;0;0;0;2;1;0;0;0;0;6;0;18;0.23;1;;
;;6264;sauce white thin prepared-from-recipe w butter;72;4;2;3;8;0;5;131;0;12;110;167;184;0;0;0;5;0;0;0;0;0;5;1;84;0.08;0;;
;;23494;"beef comp of rtl cuts ln  fat 0"" fat choic raw";176;21;4;10;0;0;0;13;2;17;194;306;61;5;0;0;23;0;0;0;6;1;4;2;3;0.2;0;;
;;16042;beans pinto mature seeds raw;347;21;0;1;63;16;2;113;5;176;411;1393;12;2;1;1;28;6;1;0;1;0;525;0;0;0.21;0;;
;;17251;"lamb dom shldr blade lnfat 18""fat choic ckd brsd";339;29;10;24;0;0;0;27;2;24;187;244;75;7;0;0;34;0;0;0;6;0;18;3;0;0;0;;
;;17194;veal var meatsby-products heart ckd brsd;186;29;2;7;0;0;0;8;4;18;250;199;58;2;0;0;52;10;0;1;5;0;2;14;0;0;0;;
;;16082;noodles chinese cellophane or long rice (mung bns) dehyd;351;0;0;0;86;1;0;25;2;3;32;10;10;0;0;0;8;0;0;0;0;0;2;0;0;0.13;0;;
;;D026;brinjal-17;22;1;0;0;3;4;1;21;1;23.13;36;233;3;0;0;0;0;2;0;0;1;0;28;0;0;0.07;0;;
;;14028;beverages whiskey sour mix btld;87;0;0;0;21;0;21;2;0;1;6;28;102;0;0;0;0;3;0;0;0;0;0;0;0;0;0;;
;;42063;pectin liquid;11;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;43390;turkey lt or dk meat smoked ckd wskn bone removed;208;28;3;10;0;0;0;26;2;25;203;280;996;3;0;0;30;0;0;0;5;0;7;0;0;0.34;0;;
;;13951;"beef rib eye sml end (ribs 10-12) ln  fat 0"" sel ckd brld";234;28;5;13;0;0;0;22;2;24;223;355;59;5;0;0;30;0;0;0;7;1;9;1;0;0.44;0;;
;;2023;marjoram dried;271;13;1;7;61;40;4;1990;83;346;306;1522;77;4;1;5;5;51;0;0;4;1;274;0;403;1.69;0;;
;;14253;alcoholic beverages wine rose;83;0;0;0;4;0;4;10;0;10;18;59;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
;;11208;dandelion grns ckd bld drnd wosalt;33;2;0;1;6;3;1;140;2;24;42;232;44;0;0;0;0;18;0;0;1;0;13;0;342;2.44;0;;
;;20024;cornmeal yel self-rising bolted w wheat flr added enr;348;8;0;3;73;6;0;299;5;54;651;207;1319;1;0;1;0;0;1;0;5;0;66;0;14;0;0;;
;;21303;"fast fd pizza chain 14"" pizza pepperoni topping thick crust";287;11;5;13;32;2;3;148;3;23;195;189;684;1;0;0;20;1;0;0;4;0;46;1;71;0.87;0;;
;;23098;"beef chuck und bl steak bnls ln 0"" fat all grds ckd brsd";219;31;4;10;0;0;0;14;3;22;207;308;65;11;0;0;36;0;0;0;4;0;8;3;2;0.09;0;;
;;42148;candies mars snackfood us mm's pnut butter choc candies;529;10;18;29;57;4;47;88;1;81;191;330;213;1;0;1;3;1;0;0;4;0;45;0;28;1.26;0;;
;;13983;"beef brisket flat half bnless ln  fat 0"" fat sel raw";158;21;3;8;0;0;0;12;2;22;206;336;82;5;0;0;25;0;0;0;6;1;3;2;4;0.11;0;;
