;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;
NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg
25059;snacks  brown rice chips;384,0000;8,2000;0,6420;2,8000;81,5000;4,2000;0,6000;11,0000;1,4900;131,0000;360,0000;290,0000;326,0000;3,0000;0,4450;3,7300;24,6000;0,0000;0,0610;0,1650;7,8060;0,1500;21,0000;0,0000;0,0000;6.54;0,0000
8102;cereals crm of wheat reg 10 minute cooking dry;370,0000;10,5000;0,2380;1,5000;76,5000;3,8000;0,2000;606,0000;28,6000;27,0000;115,0000;120,0000;7,0000;0,8800;0,2060;0,0000;20,0000;0,0000;0,5000;0,2000;4,2000;0,1080;34,0000;0,0000;0,0000;0.11;0,0000
2030;pepper black;251,0000;10,3900;1,3920;3,2600;63,9500;25,3000;0,6400;443,0000;9,7100;171,0000;158,0000;1329,0000;20,0000;1,1900;1,3300;12,7530;4,9000;0,0000;0,1080;0,1800;1,1430;0,2910;17,0000;0,0000;27,0000;1.04;0,0000
19026;granola bars soft coatd milk choc coating pnut butter;508,0000;10,2000;17,0100;31,1000;53,4000;2,8000;23,7400;108,0000;1,4500;67,0000;227,0000;339,0000;193,0000;1,4700;0,3230;1,3500;13,1000;0,6000;0,1000;0,2100;3,2900;0,1060;25,0000;0,0000;5,0000;4.17;0,0000
1284;yogurt greek strawberry lowfat;103,0000;8,1700;1,5990;2,5700;11,8900;1,0000;11,2300;88,0000;0,0700;10,0000;109,0000;129,0000;33,0000;0,4100;0,0190;0,0360;9,6000;0,7000;0,0370;0,2350;0,2050;0,0490;9,0000;0,5000;31,0000;0.02;0,0000
28079;keebler fudge shoppe cocnt dreams cookies;499,0000;3,5000;20,7000;28,0000;61,4000;3,3000;34,5000;0,0000;1,9000;23,0000;67,0000;125,0000;193,0000;0,6000;0,0000;0,0000;0,0000;0,0000;0,1600;0,1200;1,3000;0,0500;0,0000;0,0000;0,0000;0,0000;0,0000
13363;"beef comp of rtl cuts lnfat 0""fat sel ckd";203,0000;28,6100;3,6900;9,1800;0,0000;0,0000;0,0000;15,0000;2,6900;19,0000;231,0000;333,0000;62,0000;6,0000;0,0850;0,0080;28,7000;0,0000;0,0800;0,2680;5,7940;0,5660;7,0000;2,6300;4,0000;0.2;0,1000
7090;luncheon sausage porkbf;260,0000;15,3800;7,6200;20,9000;1,5800;0,0000;0,0000;13,0000;1,4300;14,0000;122,0000;245,0000;1182,0000;2,4500;0,0800;0,0420;15,4000;0,0000;0,2170;0,1950;3,5270;0,2000;3,0000;1,9600;0,0000;0,0000;0,0000
6225;prego pasta garlic supreme ital sau rts;85,0000;1,5400;1,1540;3,0800;13,0800;2,3000;10,0000;31,0000;0,8300;0,0000;0,0000;315,0000;408,0000;0,0000;0,0000;0,0000;0,0000;0,9000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
3286;babyfood veg mix veg str;36,0000;1,0000;0,0890;0,5000;8,2500;1,5000;1,5700;13,0000;0,3200;10,0000;22,0000;127,0000;0,0000;0,1500;0,0400;0,0000;0,7000;1,7000;0,0220;0,0250;0,3270;0,0550;4,0000;0,0000;158,0000;0.24;0,0000
